id,street,houseNumber,zip,city,lat,lon,brand,features,mtsk-id,fuelBonus,partnerName,normalized brand
0,Industriestr.,34,49565,Bramsche,52.45137,7.965408,,"fuelBonus'
'mtsk'
'fastLane",af12209d-6a10-419f-aa6b-bca5e804d5fc,"{""APP_ONLY"":{""pointsPerLiter"":10,""pointsPerLiterP4G"":10},""DONGLE"":{""pointsPerLiter"":20,""pointsPerLiterP4G"":20}}",Thomas Lex GmbH,LEX
1,Döberner Str.,20,3149,Forst,51.7163,14.615,AGIP,"fuelBonus'
'mtsk'
'fastLane",320288c7-e143-472d-9c1e-afcaee44e0dc,"{""APP_ONLY"":{""pointsPerLiter"":10,""pointsPerLiterP4G"":10},""DONGLE"":{""pointsPerLiter"":20,""pointsPerLiterP4G"":20}}",Q1 Energie AG,Agip
2,Kreillerstr.,220,81825,München,48.12126164,11.66370821,ALLGUTH,"mtsk'
'fuelBonus'
'fastLane",67693691-5653-44b1-9c0f-1151ddc9ea40,"{""APP_ONLY"":{""pointsPerLiter"":10,""pointsPerLiterP4G"":10},""DONGLE"":{""pointsPerLiter"":20,""pointsPerLiterP4G"":20}}",ALLGUTH GmbH,Allguth
3,Von-Kahr-Str.,1,80997,München,48.17871,11.48684,ALLGUTH,"mtsk'
'fuelBonus'
'fastLane",4b7e7978-b9ac-4013-9c28-c6afbfd4cb2d,"{""APP_ONLY"":{""pointsPerLiter"":10,""pointsPerLiterP4G"":10},""DONGLE"":{""pointsPerLiter"":20,""pointsPerLiterP4G"":20}}",ALLGUTH GmbH,Allguth
4,Münchener Str.,17,86899,Landsberg,48.05179,10.89277,ALLGUTH,"mtsk'
'fuelBonus'
'fastLane",15e3172e-6b83-4558-90c8-f59ea7c58142,"{""APP_ONLY"":{""pointsPerLiter"":10,""pointsPerLiterP4G"":10},""DONGLE"":{""pointsPerLiter"":20,""pointsPerLiterP4G"":20}}",ALLGUTH GmbH,Allguth
5,Münchner Str.,146,85757,Karlsfeld,48.22675,11.46493,ALLGUTH,"mtsk'
'fuelBonus'
'fastLane",22ad5946-78de-4c03-8b3f-cb7bc0bf1c4d,"{""APP_ONLY"":{""pointsPerLiter"":10,""pointsPerLiterP4G"":10},""DONGLE"":{""pointsPerLiter"":20,""pointsPerLiterP4G"":20}}",ALLGUTH GmbH,Allguth
6,Bodenseestr.,231,81243,München,48.142944,11.424927,ALLGUTH,"mtsk'
'fuelBonus'
'fastLane",620ba28e-edf4-43d7-bca3-eb0612952475,"{""APP_ONLY"":{""pointsPerLiter"":10,""pointsPerLiterP4G"":10},""DONGLE"":{""pointsPerLiter"":20,""pointsPerLiterP4G"":20}}",ALLGUTH GmbH,Allguth
7,Chiemgaustr.,185,81549,München,48.1092938,11.60826266,ALLGUTH,"mtsk'
'fuelBonus'
'fastLane",1f4d9e78-38d8-45a5-84d0-2d6758380a1f,"{""APP_ONLY"":{""pointsPerLiter"":10,""pointsPerLiterP4G"":10},""DONGLE"":{""pointsPerLiter"":20,""pointsPerLiterP4G"":20}}",ALLGUTH GmbH,Allguth
8,Fürstenrieder Str.,210,81377,München,48.12086844,11.50208473,ALLGUTH,"mtsk'
'fuelBonus'
'fastLane",2ba871b9-634a-4b92-9b5c-5c3efda57077,"{""APP_ONLY"":{""pointsPerLiter"":10,""pointsPerLiterP4G"":10},""DONGLE"":{""pointsPerLiter"":20,""pointsPerLiterP4G"":20}}",ALLGUTH GmbH,Allguth
9,Fürstenrieder Str.,175,81377,München,48.11966328,11.50326167,ALLGUTH,"mtsk'
'fastLane'
'fuelBonus",3118018a-15fe-4594-b75a-42d451037ff0,"{""APP_ONLY"":{""pointsPerLiter"":10,""pointsPerLiterP4G"":10},""DONGLE"":{""pointsPerLiter"":20,""pointsPerLiterP4G"":20}}",ALLGUTH GmbH,Allguth
10,Boschetsrieder Str.,139,81379,München,48.097958,11.511889,ALLGUTH,"mtsk'
'fuelBonus'
'fastLane",430f6f71-72cb-4996-9d4b-bb12d1793a92,"{""APP_ONLY"":{""pointsPerLiter"":10,""pointsPerLiterP4G"":10},""DONGLE"":{""pointsPerLiter"":20,""pointsPerLiterP4G"":20}}",ALLGUTH GmbH,Allguth
